,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,68,PF,1575590687,78,-23.12,-134.97,298.93,4.31
1,Butaritari,100,KI,1575590693,86,3.07,172.79,298.75,3.62
2,Vaini,11,IN,1575590689,89,15.34,74.49,291.49,4.07
3,Tiksi,100,RU,1575590693,100,71.64,128.87,247.82,1.52
4,Luangwa,85,MZ,1575590694,63,-15.62,30.4,298.33,5.56
5,Chuy,31,UY,1575590682,75,-33.69,-53.46,287.82,2.96
6,Hovd,75,NO,1575590694,81,63.83,10.7,278.15,9.3
7,Mar del Plata,50,AR,1575590694,31,-46.43,-67.52,293.36,7.28
8,New Norfolk,75,AU,1575590684,50,-42.78,147.06,287.04,12.3
9,Kaitangata,100,NZ,1575590694,77,-46.28,169.85,287.04,5.53
10,Bambous Virieux,20,MU,1575590694,94,-20.34,57.76,297.59,2.1
11,Severo-Kurilsk,93,RU,1575590694,84,50.68,156.12,266.89,13.63
12,Cidreira,6,BR,1575590694,69,-30.17,-50.22,293.19,5.67
13,Blois,21,FR,1575590694,92,47.59,1.33,272.15,2.43
14,Nanortalik,100,GL,1575590694,59,60.14,-45.24,272.07,3.83
15,Padang,45,ID,1575590672,88,-0.92,100.36,294.04,2.24
16,Kathmandu,20,NP,1575590569,93,27.71,85.32,279.15,1.0
17,Ushuaia,75,AR,1575590402,75,-54.81,-68.31,280.15,16.5
18,Ballina,100,IE,1575590694,95,54.11,-9.15,284.26,3.58
19,Souillac,90,FR,1575590694,100,45.6,-0.6,276.15,1.0
20,Avarua,0,CK,1575590694,69,-21.21,-159.78,301.15,7.2
21,Hermanus,0,ZA,1575590693,52,-34.42,19.24,293.15,0.89
22,Punta Arenas,75,CL,1575590694,53,-53.16,-70.91,284.15,11.3
23,Mrakovo,75,BA,1575590694,100,43.97,18.28,271.15,1.5
24,Ribeira Grande,96,PT,1575590540,78,38.52,-28.7,287.55,1.51
25,Xining,0,CN,1575590438,66,36.62,101.77,259.81,3.21
26,Cape Town,0,ZA,1575590197,43,-33.93,18.42,295.15,3.6
27,Tasiilaq,0,GL,1575590695,58,65.61,-37.64,269.15,2.1
28,Quatre Cocos,20,MU,1575590695,94,-20.21,57.76,297.59,2.1
29,Straumen,75,NO,1575590695,87,63.87,11.3,275.15,9.3
30,Ponta do Sol,100,BR,1575590695,97,-20.63,-46.0,293.07,0.29
31,Roald,100,NO,1575590695,86,62.58,6.12,278.15,7.7
32,Atar,6,MR,1575590695,48,20.52,-13.05,287.96,1.11
33,Wilmington,90,US,1575590406,48,39.75,-75.55,279.15,6.7
